X Field,X轴字段
{0} values selected,已选择{0}个值
Selected Option,已选项
"in Minutes
Updated via 'Time Log'",通过“工时记录”更新的工时(分)
Overdue,已逾期
Google Contacts has been configured.,已配置Google通讯录。
Ordered Qty,采购与委外数量
Seen,已阅
Hidden,已隐藏
Booked,已预订
Currency,币别
CURRENCY,币别
City/Town,市/镇
Marketing,市场营销
Marketing Expenses,市场营销费用
Shipping City,市（出货）
Billing City,市（开票）
Billing Address GSTIN,账单地址GSTIN
Billing Address is same as Shipping Address,账单地址与送货地址相同
Account: {0} with currency: {1} can not be selected,科目：{0}币别：{1}不能选择
Account SID,账户SID
Posts,帖子
Post,帖子
Posts by {0},帖子{0}
Posts filed under {0},帖子下提出{0}
Post Title Key,帖子标题密钥
Privilege Leave,带薪年假
With Letterhead,带表头
Help,帮助
Help Category,帮助分类
URL for documentation or help,在线帮助网址
Documentation Link,帮助文档的链接
Help Article,帮助文章
Help Articles,帮助文章
Help Section,帮助
Help Results for,帮助结果
Help: Field Properties,帮助：字段属性
"Help: To link to another record in the system, use ""#Form/Note/[Note Name]"" as the Link URL. (don't use ""http://"")",特别说明：要关联链接至系统内另一个单据，请使用诸如“#Form/Sales Order/SAL-ORD-2020-00019”作为链接网址。不要使用“http://”开头的完整网址格式的链接。
Common names and surnames are easy to guess.,常见名字和姓氏很容易被猜到。
Email Templates for common queries.,常见查询的电子邮件模板。
General Settings,常规设置
Permanent,常驻
Average,平均
Avg. Buying Rate,平均买入价
Average Commission Rate,平均佣金率
Average,平均值
Average of {0},平均值{0}
Average Age,平均库龄
Average Discount,平均折扣
Avg Daily Outgoing,日均出库
Avg. Buying Price List Rate,平均采购标价
Avg. Selling Rate,平均销售价
Avg. Selling Price List Rate,平均销售标价
Weekday,平日
Weekdays,平日
Tile,平铺显示
Year,年
yyyy-mm-dd,年-月-日
Earned Leave,年假
Earned Leave Frequency,年假频率
Rate of Interest (%) / Year,年利率（％）
Rate of Interest (%) Yearly,年利率（％）
Annual HRA Exemption,年度房租津贴减免
Profit for the year,年度利润
Year Name,年度名称
Year Start Date,年度开始日期
Annual Expenses,年度支出
Year End Date,年度结束日期
Annual Allocation,年度配额
The Year End Date cannot be earlier than the Year Start Date. Please correct the dates and try again.,年末日期不能超过年度开始日期。请更正日期，然后再试一次。
Annual Income,年营收
Annual Salary,年薪
Simultaneous Sessions,并发会话
and uncheck Disabled in the Auto Repeat document,并在自动重复单据中不勾选禁用标志字段
Slideshow,幻灯片
Slideshow Name,幻灯片名称
Slideshow Items,幻灯片条目
Advertising,广告
Advertisement,广告
Broadcasting,广播
Serial #,序列号
Serial No,序列号
Serial Numbers,序列号
Serial No Warranty Expiry,序列号/保修期
Serial No Service Contract Expiry,序列号/年度维护保修期
Serial No / Batch,序列号/批号
Serial No {0} does not exist,序列号{0}不存在
Serial No {0} does not belong to Warehouse {1},序列号{0}不属于仓库{1}
Serial No {0} does not belong to any Warehouse,序列号{0}不属于任何仓库
Serial nos {0} does not belongs to the location {1},序列号{0}不属于地点{1}
Serial No {0} does not belong to Batch {1},序列号{0}不属于批号{1}
Serial No {0} does not belong to Item {1},序列号{0}不属于物料{1}
Serial No {0} does not belong to Delivery Note {1},序列号{0}不属于销售出库{1}
Serial No {0} created,序列号{0}已创建
Serial number {0} entered more than once,序列号{0}已多次输入
Serial No {0} has already been received,序列号{0}已收到过
Serial no {0} has been already returned,序列号{0}已被退回
Serial No {0} is under warranty upto {1},序列号{0}截至至{1}之前在保修内。
Serial No {0} is under maintenance contract upto {1},序列号{0}截至至{1}之前在年度保养合同内。
Serial No {0} not in stock,序列号{0}无库存
Serial No {0} not found,序列号{0}未找到
Serial No {0} quantity {1} cannot be a fraction,序列号{0}的数量{1}不能是分数
Maintenance start date can not be before delivery date for Serial No {0},序列号为{0}的开始日期不能早于出货日期
Serial No Details,序列号信息
Serial No and Batch,序列号和批号
Serial Nos and Batches,序列号和批号
Number of serial nos and quantity must be the same,序列号和数量必须相同
Serial No is mandatory for Item {0},序列号是物料{0}的必须项
Serial No Status,序列号状态
Serial Number Series,序列号模板
Sr,序号
Sr. No,序号
Serial no item cannot be a fraction,序号不能是一个分数
Serial Number: {0} is already referenced in Sales Invoice: {1},序号：{0}已在销售发票中引用：{1}
In Stock,库存
Inventory,库存
Stock,库存
Stock cannot be updated against Purchase Receipt {0},库存不能对采购入库进行更新{0}
Insufficient Stock,库存不足
Stock and Account Value Comparison,库存与会计账金额对账
Stock Transactions,库存交易
Stock Items,库存产品
Raise Material Request when stock reaches re-order level,库存低于重订货点时生成物料需求
Stock Balance,库存余额(收发存汇总表)
Quick Stock Balance,库存余额速查
Stock Value,库存金额
Stock Value Difference,库存值变动
Stock Frozen Upto,库存变动锁账日期
Net Change in Inventory,库存净变动
Stock UOM,库存单位
Available Qty at Warehouse,仓库即时库存
Valuation Rate is mandatory if Opening Stock entered,库存开账凭证中成本价字段必填
Stock Reports,库存报表
Qty as per Stock UOM,数量(库存单位)
Stock Qty,库存数量
Stock Reconciliation,库存调账
Stock Reconciliation Item,库存调账明细
Stock Levels,库存水平
Stock Summary,库存汇总
Accounting Entry for Stock,库存会计分录
Stock Analytics,库存统计分析
Stock Settings,库存设置
Stock Details,库存详细信息
Stock Adjustment,库存调整
Stock Adjustment Account,库存调整科目
Stock Liabilities,库存负债
Stock Options,库存选项
In Stock Qty,库存数量
Stock Queue (FIFO),库存队列(先进先出)
Stock Ageing,库龄
Accounts Payable,应付账款
Creditors,应付账款
Payable,应付账款
Accounts Payable Summary,应付账款汇总表
Payable Account,应付科目
Payroll Payable,应付职工薪资
Payables,应付账款
Net Change in Accounts Payable,应付账款净变动
Payable Amount,应付金额
Is Payable,应付？
Receivable / Payable Account,应收/应付账款
Payment Period Based On Invoice Date,应收/应付款账龄(基于发票日)
Accounts Receivable,应收账款
Debtors,应收账款
Receivables,应收账款
Accounts Receivable Credit Account,应收账款备抵科目
Accounts Receivable Unpaid Account,应收账款未付科目
Invoice Discounting,应收账款融资(发票贴现)
Receivable,应收账款
Receivable Account,应收账款
Net Change in Accounts Receivable,应收账款净变动
Accounts Receivable Summary,应收账款汇总
Accounts Receivable Discounted Account,应收账款贴现科目
App,应用
Apply,应用
Apply Strict User Permissions,应用严格的用户权限
Apply On,应用于
Apply Multiple Pricing Rules,应用多个动态定价规则
App Secret Key,应用密钥
Apply Discount,应用折扣
Apply Text Styles,应用文本样式
Apply Style,应用样式
Applications,应用程序
App Name,应用程序名称
Application Installer,应用程序安装器
App Installer,应用程序安装程序
App Client ID,应用程序客户端ID
App Client Secret,应用程序客户端密钥
App not found,应用程序未找到
Application Settings,应用程序设置
App Access Key,应用程序访问密钥
App Type,应用类型
Apply Rule On Item Code,动态定价规则适用的物料号
Taxable Salary Slab,应税工资累进税率表
Taxable Salary Slabs,应税工资累进税率表
Total Taxable Value,应税总额
Taxable Amount,应税金额
Total Taxable Amount,应纳税总额
"Order in which sections should appear. 0 is first, 1 is second and so on.",应该出现哪些部分的顺序。 0是第一个，1是第二个，依此类推。
Chargeable,应课
At least one of the Applicable Modules should be selected,应选择至少一个适用模块
Scrap Items,废品
Scrap,废料
Scrap Material Cost,废料成本
Scrap Material Cost(Company Currency),废料成本（本币）
No of Seats,座位数
Seating Capacity,座位数
Delayed,延迟
Late Checkin,延迟入住
Delay Days,延迟天数
Delayed Days,延迟天数
Delay in payment (Days),付款逾期（天）
Delayed Order Report,延迟订单报告
Suggestions,建议
Suggested Username: {0},建议用户名：{0}
Itemwise Recommended Reorder Level,建议的物料重订货点
Threshold for Suggestion,建议阀值
Opened,开业
Developer,开发人员
Developer,开发者
Start,开始
Start on,开始
Let's Go,开始
Starting Frappe ...,开始Frappe ...
Starting Frappé ...,开始Frappé...
From Invoice Date,开始发票日期
Start and End Dates,开始和结束日期
"Start and end dates not in a valid Payroll Period, cannot calculate {0}",开始和结束日期不在有效的工资核算期内，无法计算{0}
